,category,message,cleaned
1,Mental Health/Bullying,OBSCENE PHONE CALLS(S),obscen phone call s
4,Larceny/Theft,GRAND THEFT FROM LOCKED AUTO,grand theft from lock auto
6,Larceny/Theft,PETTY THEFT OF PROPERTY,petti theft of properti
12,Larceny/Theft,GRAND THEFT OF PROPERTY,grand theft of properti
28,Larceny/Theft,PETTY THEFT FROM A BUILDING,petti theft from a build
36,Larceny/Theft,STOLEN AUTOMOBILE,stolen automobil
38,Sex Offences,SEXUAL BATTERY,sexual batteri
39,Larceny/Theft,GRAND THEFT FROM A BUILDING,grand theft from a build
40,Violence/Homicide,JUVENILE INVOLVED,juvenil involv
44,Sex Offences,"ORAL COPULATION, UNLAWFUL (ADULT VICTIM)",oral copul unlaw adult victim
46,Larceny/Theft,PETTY THEFT FROM LOCKED AUTO,petti theft from lock auto
47,Mental Health/Bullying,HARASSING PHONE CALLS,harass phone call
49,Larceny/Theft,THEFT OF CHECKS OR CREDIT CARDS,theft of check or credit card
53,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",burglari of apart hous att forcibl entri
54,Larceny/Theft,GRAND THEFT SHOPLIFTING,grand theft shoplift
57,Larceny/Theft,"BURGLARY, FORCIBLE ENTRY",burglari forcibl entri
60,Violence/Homicide,INFLICT INJURY ON COHABITEE,inflict injuri on cohabite
61,Larceny/Theft,PETTY THEFT SHOPLIFTING,petti theft shoplift
62,Kidnapping,FOUND PERSON,found person
63,Kidnapping,MISSING ADULT,miss adult
64,Larceny/Theft,STOLEN MOTORCYCLE,stolen motorcycl
66,Violence/Homicide,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),elder adult or depend abus not embezzl or theft
70,Violence/Homicide,THREATS AGAINST LIFE,threat against life
71,Violence/Homicide,FALSE IMPRISONMENT,fals imprison
72,Sex Offences,"FORCIBLE RAPE, BODILY FORCE",forcibl rape bodili forc
76,Larceny/Theft,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",burglari of resid unlaw entri
78,Violence/Homicide,CHILD ABUSE (PHYSICAL),child abus physic
79,Violence/Homicide,ASSAULT WITH CAUSTIC CHEMICALS,assault with caustic chemic
80,Violence/Homicide,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,aggrav assault with a dead weapon
81,Violence/Homicide,BATTERY,batteri
83,Violence/Homicide,DOMESTIC VIOLENCE,domest violenc
86,Larceny/Theft,"LOST PROPERTY, PETTY THEFT",lost properti petti theft
88,Violence/Homicide,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",batteri former spous or date relationship
96,Larceny/Theft,PETTY THEFT BICYCLE,petti theft bicycl
97,Larceny/Theft,STOLEN TRUCK,stolen truck
104,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",burglari store under construct forcibl entri
105,Larceny/Theft,"BURGLARY, UNLAWFUL ENTRY",burglari unlaw entri
113,Violence/Homicide,AGGRAVATED ASSAULT WITH BODILY FORCE,aggrav assault with bodili forc
116,Traffic Violation,"DRIVERS LICENSE, SUSPENDED OR REVOKED",driver licens suspend or revok
117,Traffic Violation,TRAFFIC VIOLATION ARREST,traffic violat arrest
121,Traffic Violation,TRAFFIC VIOLATION,traffic violat
142,Violence/Homicide,CARRYING A CONCEALED WEAPON,carri a conceal weapon
152,Violence/Homicide,DISCHARGE FIREARM WITHIN CITY LIMITS,discharg firearm within citi limit
154,Traffic Violation,LOST/STOLEN LICENSE PLATE,lost stolen licens plate
157,Larceny/Theft,GRAND THEFT PICKPOCKET,grand theft pickpocket
163,Larceny/Theft,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",stolen properti possess with knowledg receiv
164,Larceny/Theft,PETTY THEFT FROM UNLOCKED AUTO,petti theft from unlock auto
166,Violence/Homicide,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,exhibit dead weapon in a threat manner
169,Drug/Narcotics,POSSESSION OF NARCOTICS PARAPHERNALIA,possess of narcot paraphernalia
179,Violence/Homicide,"AMMUNITION, POSS. BY PROHIBITED PERSON",ammunit poss by prohibit person
180,Violence/Homicide,POSS OF LOADED FIREARM,poss of load firearm
181,Violence/Homicide,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,poss of firearm by convict felon addict alien
182,Violence/Homicide,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,carri of conceal weapon by convict felon
183,Violence/Homicide,BATTERY OF A POLICE OFFICER,batteri of a polic offic
184,Violence/Homicide,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER",firearm discharg in grossli neglig manner
187,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,drive while under the influenc of alcohol
196,Larceny/Theft,GRAND THEFT FROM PERSON,grand theft from person
203,Larceny/Theft,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",burglari hot prowl unlaw entri
206,Traffic Violation,RECKLESS DRIVING,reckless drive
218,Larceny/Theft,"ROBBERY, BODILY FORCE",robberi bodili forc
234,Violence/Homicide,POSS OF PROHIBITED WEAPON,poss of prohibit weapon
254,Larceny/Theft,GRAND THEFT FROM UNLOCKED AUTO,grand theft from unlock auto
328,Larceny/Theft,"BURGLARY, VEHICLE (ARREST MADE)",burglari vehicl arrest made
336,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE,possess of meth amphetamin
338,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",burglari of apart hous unlaw entri
352,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",burglari store under construct unlaw entri
355,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,robberi of a chain store with bodili forc
357,Larceny/Theft,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",burglari hot prowl forcibl entri
360,Drug/Narcotics,POSSESSION OF HEROIN,possess of heroin
374,Larceny/Theft,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",burglari of resid forcibl entri
393,Violence/Homicide,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",firearm load in vehicl possess or use
396,Violence/Homicide,AGGRAVATED ASSAULT WITH A GUN,aggrav assault with a gun
398,Violence/Homicide,"ASSAULT, AGGRAVATED, W/ GUN",assault aggrav w gun
407,Drug/Narcotics,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,under influenc of alcohol in a public place
417,Larceny/Theft,"BURGLARY, VEHICLE, ATT. (ARREST MADE)",burglari vehicl att arrest made
420,Larceny/Theft,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",robberi arm with a danger weapon
421,Violence/Homicide,BATTERY WITH SERIOUS INJURIES,batteri with serious injuri
424,Violence/Homicide,PREJUDICE-BASED INCIDENT,prejudic base incid
507,Larceny/Theft,GRAND THEFT BICYCLE,grand theft bicycl
515,Violence/Homicide,ATTEMPTED ARSON,attempt arson
525,Larceny/Theft,SAFE BURGLARY OF A STORE,safe burglari of a store
526,Sex Offences,"OBSCENE MATTER, DISTRIBUTION TO MINORS",obscen matter distribut to minor
565,Larceny/Theft,POSSESSION OF BURGLARY TOOLS,possess of burglari tool
581,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A GUN,robberi of a chain store with a gun
583,Drug/Narcotics,POSSESSION OF METH-AMPHETAMINE FOR SALE,possess of meth amphetamin for sale
599,Violence/Homicide,AGGRAVATED ASSAULT WITH A KNIFE,aggrav assault with a knife
627,Larceny/Theft,THEFT OF COMPUTERS OR CELL PHONES,theft of comput or cell phone
641,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE FOR SALE,possess of base rock cocain for sale
668,Violence/Homicide,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",child inflict injuri result in traumat condit
695,Violence/Homicide,THREATENING SCHOOL OR PUBLIC EMPLOYEE,threaten school or public employe
726,Violence/Homicide,ASSAULT,assault
728,Drug/Narcotics,POSSESSION OF MARIJUANA,possess of marijuana
734,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,robberi of a chain store with a danger weapon
738,Mental Health/Bullying,SUICIDE,suicid
754,Larceny/Theft,ATTEMPTED SHOPLIFTING,attempt shoplift
760,Larceny/Theft,ATTEMPTED THEFT FROM A BUILDING,attempt theft from a build
763,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,maintain a public nuisanc after notif
780,Larceny/Theft,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",burglari of apart hous forcibl entri
783,Violence/Homicide,POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT,poss of dead weapon with intent to assault
785,Larceny/Theft,"BURGLARY OF FLAT, UNLAWFUL ENTRY",burglari of flat unlaw entri
806,Larceny/Theft,"ROBBERY, ARMED WITH A GUN",robberi arm with a gun
816,Drug/Narcotics,SALE OF METH-AMPHETAMINE,sale of meth amphetamin
876,Larceny/Theft,STOLEN AND RECOVERED VEHICLE,stolen and recov vehicl
920,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",burglari resid under constrt forcibl entri
932,Drug/Narcotics,POSSESSION OF OPIATES,possess of opiat
935,Traffic Violation,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",traffic collis hit run properti damag
943,Larceny/Theft,"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE",burglari store under construct att forcibl
991,Drug/Narcotics,POSSESSION OF HEROIN FOR SALES,possess of heroin for sale
1004,Kidnapping,MISSING JUVENILE,miss juvenil
1010,Larceny/Theft,ATTEMPTED THEFT FROM LOCKED VEHICLE,attempt theft from lock vehicl
1012,Drug/Narcotics,POSSESSION OF MARIJUANA FOR SALES,possess of marijuana for sale
1030,Drug/Narcotics,POSSESSION OF COCAINE FOR SALES,possess of cocain for sale
1045,Violence/Homicide,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",aggrav assault of polic offic bodili forc
1154,Violence/Homicide,ATM RELATED CRIME,atm relat crime
1160,Drug/Narcotics,SALE OF BASE/ROCK COCAINE,sale of base rock cocain
1167,Violence/Homicide,ARSON,arson
1170,Drug/Narcotics,LOITERING WHERE NARCOTICS ARE SOLD/USED,loiter where narcot are sold use
1205,Larceny/Theft,TAMPERING WITH A VEHICLE,tamper with a vehicl
1260,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY",burglari resid under constrt unlaw entri
1276,Violence/Homicide,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,threat or forc to resist execut offic
1292,Violence/Homicide,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE",firearm arm while possess control substanc
1294,Drug/Narcotics,TRANSPORTAION OF CONTROLLED SUBSTANCE,transportaion of control substanc
1295,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,possess of control substanc for sale
1296,Drug/Narcotics,TRANSPORTATION OF OPIATES,transport of opiat
1297,Drug/Narcotics,POSSESSION OF OPIATES FOR SALES,possess of opiat for sale
1298,Drug/Narcotics,TRANSPORTATION OF HEROIN,transport of heroin
1300,Violence/Homicide,"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY",firearm carri load with intent to commit feloni
1320,Larceny/Theft,ATTEMPTED ROBBERY WITH A GUN,attempt robberi with a gun
1331,Larceny/Theft,ROBBERY OF A BANK WITH A GUN,robberi of a bank with a gun
1341,Larceny/Theft,ATTEMPTED ROBBERY WITH A KNIFE,attempt robberi with a knife
1360,Violence/Homicide,POSSESSION OF EXPLOSIVE DEVICE,possess of explos devic
1363,Larceny/Theft,"LOST PROPERTY, GRAND THEFT",lost properti grand theft
1405,Larceny/Theft,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY",burglari of store attempt forcibl entri
1411,Violence/Homicide,"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH",resist peac offic caus their serious injuri or death
1534,Violence/Homicide,COMMITTING PUBLIC NUISANCE,commit public nuisanc
1544,Larceny/Theft,"BURGLARY, ATTEMPTED FORCIBLE ENTRY",burglari attempt forcibl entri
1573,Violence/Homicide,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,shoot into inhabit dwell or occupi vehicl
1578,Larceny/Theft,ROBBERY ON THE STREET WITH A GUN,robberi on the street with a gun
1584,Larceny/Theft,"ROBBERY, ARMED WITH A KNIFE",robberi arm with a knife
1586,Drug/Narcotics,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",control substanc violat loiter for
1592,Larceny/Theft,POSSESSION OF BURGLARY TOOLS W/PRIORS,possess of burglari tool w prior
